disparity,sampling,coef,dset,cfRate,tcfRate,eoRate,spRate,accuracy
1.0,under,-0.07895356026864672,German,1.0494707844793005,1.022530350422481,0.9198118091743928,0.8470940595663058,0.753
0.7999999999999997,under,-0.14722281580264765,German,1.078543794187929,1.034844902337407,0.9245110466695964,0.8576986990640638,0.7530000000000001
0.6000000000000005,under,-0.21682169520685027,German,1.120523681471238,1.053311056958857,0.9428612316372448,0.8828375588879653,0.7506
0.3999999999999999,under,-0.2676565567423823,German,1.133821176618307,1.0595586140472208,0.9528119929616821,0.8958527705908097,0.7544000000000001
0.19999999999999996,under,-0.32707671689128004,German,1.1862484591704734,1.081659672808151,0.967958357802006,0.9161167170757986,0.7502000000000001
0.0,under,-0.4006378549980189,German,1.2311035527364254,1.1008988680638727,0.9799018789648918,0.9404966588551212,0.7511999999999999
-0.2,under,-0.43486117225065857,German,1.2409720268831084,1.1065370903005145,0.9872997855702484,0.947736493236968,0.7474000000000001
-0.3999999999999999,under,-0.5053690022140596,German,1.317335337229638,1.131754926756196,1.0050026544469617,0.9786339133015541,0.7495999999999999
-0.6000000000000005,under,-0.5678114213941324,German,1.3529185977533116,1.1519611955340157,1.0164106761447615,0.9994841275491279,0.7432
-0.7999999999999997,under,-0.6450774519533846,German,1.4522609388185808,1.1865937209225192,1.0355994736521688,1.023338325045091,0.7454000000000001
-1.0,under,-0.6881669509537776,German,1.4513995152647334,1.1943051057370453,1.0448919746005203,1.0361043624122632,0.7427999999999997
1.0,over,0.10392487895367986,German,0.9193615537086691,0.9625638439034538,0.8842648456801637,0.8013952081476685,0.7479999999999998
0.7999999999999997,over,-0.010241568902663577,German,0.9999816165702944,1.0013760902322322,0.9041632962329328,0.8375130066349098,0.7426000000000005
0.6000000000000005,over,-0.06092454011915505,German,1.0372302282373682,1.0153499423155758,0.9127754003505524,0.8614347131960662,0.7397999999999998
0.3999999999999999,over,-0.1189409028138482,German,1.0501626208677484,1.025338686228598,0.9288476355909484,0.8719464877276241,0.7435999999999998
0.19999999999999996,over,-0.16534430916678822,German,1.0786279016270481,1.0388229633198622,0.9497938486085744,0.8832403402075979,0.7435999999999998
0.0,over,-0.24422244179173394,German,1.1596459583227505,1.069645613924362,0.9604460267728652,0.9114888769485636,0.7461999999999999
-0.2,over,-0.34804057428806895,German,1.2147686560768935,1.0940405365890005,0.9734446565466428,0.9241238630092923,0.746
-0.3999999999999999,over,-0.3999080572910044,German,1.2694956045999137,1.1105862649871217,0.9696890085811942,0.9361580087619183,0.736
-0.6000000000000005,over,-0.4644206206596998,German,1.3062724489948332,1.1312536636949306,0.9959956975228628,0.9592071946725843,0.7405999999999996
-0.7999999999999997,over,-0.4899691711449141,German,1.356113230567176,1.1450086169101794,1.0125460343879429,1.001530692118344,0.7373999999999999
-1.0,over,-0.6296144044652472,German,1.4618130359440404,1.190665910357999,1.040148820732567,1.0335704438710942,0.7366000000000001
1.0,smote,-0.08082053653640253,German,1.0457630629388757,1.0197707540276784,0.9357322290024906,0.8514315255634421,0.7507999999999998
0.7999999999999997,smote,-0.13083032898951774,German,1.0839153974436742,1.0337396091854398,0.9469110769311953,0.8638979328988955,0.7527999999999999
0.6000000000000005,smote,-0.1865546890610632,German,1.1109378234654668,1.0476846177090255,0.9646931980650232,0.8836560849798356,0.7519999999999999
0.3999999999999999,smote,-0.22881446620881424,German,1.1458930345913856,1.0580890932282958,0.9814855842964556,0.9088716625656282,0.7502000000000001
0.19999999999999996,smote,-0.2992677497526129,German,1.198906813151174,1.0826526441677902,0.9829465218185311,0.9198849349147604,0.7472
0.0,smote,-0.3685871984512993,German,1.2331272890580078,1.0955584471495383,0.9936753874185064,0.9371336228136276,0.7488000000000002
-0.2,smote,-0.4161446882987792,German,1.2629356199420074,1.1084714053737743,0.9982366389565266,0.9477278578669094,0.7464
-0.3999999999999999,smote,-0.4991838664269537,German,1.3398124121327024,1.1377629940233291,1.0210109286408091,0.9743817525346936,0.7455999999999997
-0.6000000000000005,smote,-0.5474144227163422,German,1.3664350693516392,1.151362165781138,1.024455696852009,0.9876790060790579,0.7439999999999999
-0.7999999999999997,smote,-0.6219998573125006,German,1.4145913112510369,1.1676862801844583,1.026346943832486,0.9911060156034034,0.7433999999999998
-1.0,smote,-0.6712423663193873,German,1.4428474767609722,1.181327476533594,1.0414301272444877,1.0143907169053965,0.7454000000000001
1.0,psp,-0.08179661902860164,German,1.0333219518519046,1.0140876648050845,0.9253563201003232,0.83789361890432,0.7510000000000001
0.7999999999999997,psp,-0.24397982380198155,German,1.128145671182692,1.0573785134520812,0.9594657267861654,0.8687509538029875,0.7528000000000001
0.6000000000000005,psp,-0.3807719330376455,German,1.2098972426344135,1.0874503304065062,0.9842836952034232,0.9029662053590637,0.7492
0.3999999999999999,psp,-0.5034074240728763,German,1.2820011691558904,1.113658388264022,1.0002847957640997,0.9391511334926809,0.7452000000000001
0.19999999999999996,psp,-0.6407736146326589,German,1.400343484498553,1.1567154032683888,1.0328197302779183,0.9851785370373376,0.7424000000000004
0.0,psp,-0.7724498640932224,German,1.4996050151762514,1.1937683265050598,1.0563313246280681,1.0289185726223713,0.7389999999999999
-0.2,psp,-0.8481474340012676,German,1.5710928591057751,1.2149811459257578,1.0759044604770387,1.0682113542011187,0.7368000000000002
-0.3999999999999999,psp,-0.9270153703318617,German,1.6333815718107452,1.2420321616800103,1.1053933407257288,1.1122918829981485,0.7320000000000002
-0.6000000000000005,psp,-1.0092633157603226,German,1.6847784848421081,1.258095778383062,1.1227678786871127,1.1427975273375681,0.7344000000000002
