age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jailtime,disparity
0.046048412026823915,-0.16550346920713316,-0.0171588033250745,-0.2984226277095075,-0.1525565093522145,-0.00024528046776759154,-0.0028215498296205775,1.0
0.04612815252265732,-0.16689793437983608,-0.09186479681384606,-0.2997075404782585,-0.15222427591753307,-0.000246894455442403,-0.002826530012581376,0.7999999999999997
0.04627904728116252,-0.1634876118123893,-0.16653670348563512,-0.3024198969484651,-0.15222249451784092,-0.0002470231888469964,-0.0028216295091417227,0.6000000000000005
0.04614862672796514,-0.16646126417448998,-0.23759391429446894,-0.301053453042682,-0.15174967919512372,-0.000262159794296008,-0.0028226815032025704,0.39999999999999986
0.04615133059318527,-0.16658578217563508,-0.3113743325116775,-0.29806647274565784,-0.1516035320816373,-0.0002226838089873123,-0.0028356713035868376,0.19999999999999993
0.04631125697466491,-0.16211844112951634,-0.3842494133432441,-0.2984522528194569,-0.151404774251107,-0.0002359962438644072,-0.002887636945613819,0.0
0.04619301909348688,-0.1680716043160668,-0.45710264178771887,-0.3001979495560761,-0.15095160023821388,-0.00024060578833720874,-0.0028292634550833636,-0.2
0.04632034802603946,-0.1701106692969926,-0.5280499575573949,-0.29250945956803465,-0.15027174371928018,-0.0002447210982987136,-0.0028663864383656743,-0.3999999999999999
0.04615553818383231,-0.16559404121822405,-0.5984788580811116,-0.29820730671860607,-0.14938089871147842,-0.0002553102878349686,-0.0028375179267516176,-0.6000000000000005
0.046014208606152074,-0.15824801003129318,-0.6706311236932602,-0.3011712979312849,-0.1488720465351928,-0.00023916164232913394,-0.002938930729191464,-0.7999999999999997
0.045952375881320597,-0.16715538391353316,-0.7443828406863183,-0.286393231078376,-0.14880301448548583,-0.0002448780633218762,-0.002960228818139905,-1.0
