disparity,accuracy,fem_accu,male_accu,positive_rate,unfav_positive_rate,fav_positive_rate,uo,fo,eo,eo_rate,r_accuracy,r_positive_rate,r_unfav_positive_rate,r_fav_positive_rate,fav_pos_rate,unfav_pos_rate,cfact,ucfact,fcfact,tcfact,favcf,unfavcf,vola0,vola1,vola2,unfav_vola0,unfav_vola1,unfav_vola2,fav_vola0,fav_vola1,fav_vola2
1.0,0.8495732268959165,0.9247980864371133,0.8124562048531407,0.19535155050660116,0.07464370455540693,0.25491715163696943,0.4976136867637135,0.6105365213913918,0.5935011356381639,0.815218747976118,0.8390359226281855,0.1439177156892846,0.11126703077248871,0.16005899755092506,0.20744857230580288,0.1318206938900829,1.3705427951962477,0.6783465685278255,1.6349288697935407,0.6377441648966249,0.20744857230580288,0.1318206938900829,,,,,,,,,
0.7999999999999997,0.8487442431685599,0.9233243813772204,0.8119388793329259,0.1958120970217991,0.08938956246548684,0.24830873450361346,0.5580979183228257,0.5988062997021935,0.5927144356749889,0.9322531259811566,0.8451949646914336,0.17576911268038078,0.10371344514999009,0.21140465274779707,0.20052809333742705,0.17105311636475284,1.1216893704906414,0.8683577540154128,1.1938569398562422,0.8544871095021018,0.20052809333742705,0.17105311636475284,0.8396438440282467,0.019029782007982807,0.14132637396377032,0.916125107039417,0.01587225373550028,0.0680026392250829,0.8019151394997749,0.02056480518651703,0.17752005531370812
0.6000000000000005,0.8478231501381641,0.9215213789802662,0.8114414531844315,0.19427694197113912,0.09845810746731092,0.2415611877745974,0.5914035056185378,0.5869321177400768,0.5876097925071555,1.0083250334237193,0.8460669327602091,0.18591341725514282,0.1057195516410353,0.22554484813770478,0.19666564322996624,0.18352471599631565,1.0508008971065055,0.9439507316441694,1.0865229128120784,0.937134997360392,0.19666564322996624,0.18352471599631565,0.8368314399754372,0.02373349708320541,0.13943506294135707,0.9111593226281485,0.02400082016108251,0.06483985721076876,0.8001477930529417,0.02360207193168904,0.1762501350153694
0.39999999999999986,0.8470555726128339,0.9188352675431279,0.8116109162733183,0.19206017807798592,0.1115987987634248,0.23179104520144972,0.6388576406894726,0.5712103123506566,0.5814131428507212,1.1193958258158236,0.8471783850168868,0.19807798587657355,0.10742667963491082,0.242833061294354,0.19068467915259435,0.199453484801965,0.9732222784397386,1.0465551549246586,0.9625781143705818,1.047279027544792,0.19068467915259435,0.199453484801965,0.8328768805649372,0.03087503837887627,0.1362480810561867,0.9033211280859322,0.03699109780837795,0.059687774105689984,0.7980922354030235,0.02788265032041232,0.1740251142765643
0.19999999999999993,0.8460178077985878,0.9169677939212276,0.8109952335103959,0.18778016579674553,0.12047882492427746,0.22101019851165304,0.6706781367027322,0.5524909493702387,0.5703401608804322,1.215532800955948,0.848314399754375,0.21489714461160575,0.09802644879377617,0.27259055381531794,0.1803561559717532,0.22232115443659808,0.8755538206069065,1.2363388320075703,0.8140633835872242,1.2338545146954083,0.1803561559717532,0.22232115443659808,0.8279459625422169,0.03969910961007062,0.1323549278477126,0.8979653799947352,0.04583512036887053,0.05619949963639404,0.793398266906877,0.036654904549782874,0.1699468285433402
0.0,0.8439177156892851,0.91374320062379,0.8094446249096395,0.1825729198649063,0.12830876886548004,0.20937413053675505,0.6918537364217735,0.5308852139160697,0.5551395557368466,1.3051773593991944,0.84753454098864,0.22031931225053722,0.09742885917313414,0.2809943271437573,0.1723672090881179,0.2305250230273259,0.8312359069779423,1.333393928761549,0.750134705517099,1.3400676848387791,0.1723672090881179,0.2305250230273259,0.822198342032545,0.049094258520110526,0.12870739944734416,0.8924192256341498,0.053702835792603806,0.05387793857324632,0.787546409341588,0.04680801107960485,0.16564557957880743
-0.19999999999999993,0.8422781700951796,0.9126632835398063,0.8075351474257844,0.1733067239791219,0.13429729556078404,0.19259278028357546,0.7137965418762442,0.5002109100372563,0.5324574824563053,1.429799693628373,0.8479152594412033,0.22777402517654285,0.09011404205689377,0.2957138398300408,0.15871046975744554,0.24237027939821926,0.7627929886371922,1.5022920365065842,0.6543452468749392,1.5295532717642362,0.15871046975744554,0.24237027939821926,0.81497697267424,0.061897451642615876,0.12312557568314399,0.8889038894857713,0.05965359100537711,0.05144251950885158,0.7785031479115082,0.06298505645590888,0.15851179563258297
-0.39999999999999986,0.8385876573533928,0.9105864309753183,0.803043386509654,0.16224746699416642,0.13959971241746535,0.1734304823780269,0.728679482780145,0.4614706395631027,0.5017906879838522,1.58324535362829,0.848197727970525,0.23099171016272652,0.08497127582714731,0.3030166309035737,0.14420632483880877,0.24903285231808409,0.7040084621496887,1.6637059592496624,0.574915178008006,1.7319362950269563,0.14420632483880877,0.24903285231808409,0.8059993859379797,0.07616211237334972,0.11783850168867054,0.8852142547751864,0.06495600786205839,0.049829737362754915,0.7669056158297535,0.08168835970328797,0.1514060244669585
-0.6000000000000005,0.8344980042984343,0.9093764205268653,0.7975436657688627,0.1496100706171323,0.14379210050010058,0.15250713219184786,0.7424509485150175,0.41815355787229364,0.4670370522482955,1.7781418107255724,0.8485108996008597,0.23108381946576603,0.08008268232316165,0.3056099744540582,0.1285661651826834,0.25212772490021484,0.6486995580872624,1.817594823568553,0.5010369971138126,1.9666016934312467,0.1285661651826834,0.25212772490021484,0.7963094872582132,0.09145225667792448,0.11223825606386245,0.8825130555096428,0.06914839594469369,0.04833854854566362,0.7537766730892893,0.1024465244434246,0.143776802467286
-0.7999999999999997,0.8276757752533007,0.9076875744781451,0.7881991592734385,0.1336505987104698,0.14586251009520645,0.1276691546207824,0.7441707262472487,0.36205845450305213,0.41967200153796186,2.0600340058201065,0.8489775867362604,0.22927847712618976,0.07260190170921725,0.30655183992179624,0.10946269573226898,0.2534663801043906,0.5834475699855,2.025783536645693,0.41709426787079246,2.3224052717660064,0.10946269573226898,0.2534663801043906,0.7842308873196195,0.10878722750997845,0.1069818851704022,0.8806143619107989,0.07125693709366036,0.04812870099554035,0.7366852795433165,0.12728480503994674,0.13602991541673695
