age,c_charge_degree,race,sex,priors_count,days_b_screening_arrest,jailtime,disparity
0.046077054571764045,-0.16901869516146484,-0.006570832214417281,-0.30252556193064817,-0.15165307707452327,-0.0002629008487752705,-0.0027950023419182923,1.0
0.04385602116142915,-0.15724193491111177,-0.11744146657807607,-0.26942989540939555,-0.15037406826488994,-0.0001293705083508583,-0.0029050292865176724,0.7999999999999997
0.04445401601439982,-0.1606110296831357,-0.239033496354775,-0.2724893312824339,-0.14605084636601628,-1.2085021540797595e-05,-0.0027241972144451134,0.6000000000000005
0.04544161445900646,-0.17277663019920883,-0.3546456556969245,-0.29751117079500866,-0.14284510074863432,1.5134739163188096e-05,-0.0025019002015661098,0.39999999999999986
0.046157449682835104,-0.20863713548718643,-0.4663312989280769,-0.33372297089698466,-0.1382013863773309,1.3060745370045977e-05,-0.002379667921540943,0.19999999999999993
0.04749114183436388,-0.2356458538265925,-0.5839652909389856,-0.37429866808673146,-0.13499061878880278,-3.101272899319951e-05,-0.0023067688353600917,0.0
0.04901288175713295,-0.2451834929078348,-0.7065577608410447,-0.4334468716591166,-0.1333161237806549,-1.4269978154206226e-05,-0.0023639139170233497,-0.2
0.050331586787950515,-0.234155294019107,-0.8311706853023297,-0.5140051762213118,-0.133773640605951,-3.5810388416919826e-06,-0.002473942417189036,-0.3999999999999999
0.052298989912107234,-0.21777941155920572,-0.962643286021683,-0.5979541339575211,-0.13451759694131393,1.1111770860067712e-05,-0.002683333326312306,-0.6000000000000005
0.05475050161365588,-0.24878638958958063,-1.1014375266230096,-0.6405362994679235,-0.1362701625225798,1.3195349596116434e-05,-0.0029168246945966746,-0.7999999999999997
0.056854561498689477,-0.301558842206856,-1.2454519478038792,-0.6386006458847335,-0.14117907993186465,1.1189680706881232e-05,-0.0031675194791716517,-1.0
